Vivado Simulator 2019.1
Time resolution is 1 ps
Block Memory Generator module dwt_8F_32bit_256x256_tb.uut.temp_test_memory_inst.template_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Block Memory Generator module dwt_8F_32bit_256x256_tb.uut.temp_test_memory_inst.test_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Block Memory Generator module dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.odd_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Block Memory Generator module dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.even_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Loading rom.
blk_mem_gen_v8_4_3 collision detected at time: 106906750000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.odd_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 106906850000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.odd_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 106906950000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.odd_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 106907050000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.odd_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 106907150000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.odd_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 106907250000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.odd_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 106907350000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.odd_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 106907450000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.odd_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 106907550000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.odd_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 106907650000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.odd_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
Distance for case          1 :        690
blk_mem_gen_v8_4_3 collision detected at time: 212173550000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.even_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 212173650000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.even_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 212173750000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.even_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 212173850000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.even_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 212173950000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.even_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 212174050000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.even_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 212174150000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.even_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 212174250000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.even_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 212174350000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.even_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 212174450000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.even_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 212174550000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.even_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 212174650000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.even_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 212174750000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.even_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 212174850000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.even_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 212174950000000, Instance: dwt_8F_32bit_256x256_tb.uut.dwt_matrix_memory_inst.even_rows.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
